model_name,dataset_type,language,f1,acc
roberta-base,human_paraphrase,english,0.8585722819593788,0.8888888888888888
bert-base-uncased,standard,english,0.8585722819593788,0.8888888888888888
bert-base-uncased,standard,portuguese,0.8584786860648931,0.9040404040404041
bert-large-uncased,standard,portuguese,0.8584786860648931,0.9040404040404041
bert-large-uncased,human_paraphrase,portuguese,0.8584786860648931,0.9040404040404041
bert-large-uncased,automatic_paraphrase,portuguese,0.8584786860648931,0.9040404040404041
roberta-base,standard,portuguese,0.8584786860648931,0.9040404040404041
roberta-base,human_paraphrase,portuguese,0.8584786860648931,0.9040404040404041
roberta-base,automatic_paraphrase,portuguese,0.8584786860648931,0.9040404040404041
roberta-large,standard,portuguese,0.8584786860648931,0.9040404040404041
bert-large-uncased,human_paraphrase,english,0.8584786860648931,0.9040404040404041
bert-large-uncased,automatic_paraphrase,english,0.8584786860648931,0.9040404040404041
roberta-large,standard,english,0.8584786860648931,0.9040404040404041
roberta-large,automatic_paraphrase,english,0.8584786860648931,0.9040404040404041
roberta-large,human_paraphrase,portuguese,0.8584786860648931,0.9040404040404041
roberta-large,automatic_paraphrase,portuguese,0.8584786860648931,0.9040404040404041
roberta-large,human_paraphrase,english,0.8556930765894404,0.8737373737373737
bert-base-uncased,automatic_paraphrase,portuguese,0.8526135673676657,0.8686868686868687
bert-base-uncased,human_paraphrase,english,0.8498991723923973,0.8737373737373737
roberta-base,automatic_paraphrase,english,0.8470222410439802,0.8686868686868687
roberta-base,standard,english,0.8457152166829587,0.8787878787878788
bert-base-uncased,human_paraphrase,portuguese,0.8441485227165957,0.8636363636363636
bert-large-uncased,standard,english,0.8431212393476544,0.8737373737373737
bert-base-uncased,automatic_paraphrase,english,0.8326515847177004,0.8434343434343434
